           X Spline Natural      Error
3  17.90896      1.0077600 -0.02712392
4  17.99944      1.0242025 -0.03705639
5  18.09328      1.0476800 -0.04313687
6  18.19000      1.0771875 -0.04488930
7  18.28912      1.1117200 -0.04228049
8  18.39016      1.1502725 -0.03567171
9  18.49264      1.1918400 -0.02575684
10 18.59608      1.2354175 -0.01348920
11 18.70000      1.2800000  0.00000000
          X Spline MonoH.FC       Error
1  17.74000       1.0000000  0.00000000
2  17.82232       0.9993575 -0.01429101
3  17.90896       1.0077600 -0.02712392
4  17.99944       1.0242025 -0.03705639
5  18.09328       1.0476800 -0.04313687
6  18.19000       1.0771875 -0.04488930
7  18.28912       1.1117200 -0.04228049
8  18.39016       1.1502725 -0.03567171
9  18.49264       1.1918400 -0.02575684
10 18.59608       1.2354175 -0.01348920
11 18.70000       1.2800000  0.00000000
> SplineCubico(xb3, yb3)
          X Spline Natural         Error
1  18.70000      1.2800000  0.000000e+00
2  19.24814      1.2311341 -1.934990e-02
3  19.79032      1.1829268 -3.667577e-02
4  20.32062      1.1360366 -5.016396e-02
5  20.83307      1.0911220 -5.840549e-02
6  21.32173      1.0488415 -6.055894e-02
7  21.78065      1.0098537 -5.646800e-02
8  22.20388      0.9748171 -4.672178e-02
9  22.58549      0.9443902 -3.264902e-02
10 22.91951      0.9192317 -1.624072e-02
11 23.20000      0.9000000  1.110223e-16
          X Spline MonoH.FC         Error
1  18.70000       1.2800000  0.000000e+00
2  19.24814       1.2311341 -1.934990e-02
3  19.79032       1.1829268 -3.667577e-02
4  20.32062       1.1360366 -5.016396e-02
5  20.83307       1.0911220 -5.840549e-02
6  21.32173       1.0488415 -6.055894e-02
7  21.78065       1.0098537 -5.646800e-02
8  22.20388       0.9748171 -4.672178e-02
9  22.58549       0.9443902 -3.264902e-02
10 22.91951       0.9192317 -1.624072e-02
11 23.20000       0.9000000  1.110223e-16
          X Spline Natural        Error
1  23.20000      0.9000000 1.110223e-16
2  23.42346      0.8870751 1.328944e-02
3  23.59619      0.8797229 2.176491e-02
4  23.72691      0.8769307 2.539665e-02
5  23.82438      0.8776859 2.504890e-02
6  23.89732      0.8809756 2.185263e-02
7  23.95447      0.8857873 1.694738e-02
8  24.00458      0.8911083 1.140073e-02
9  24.05638      0.8959259 6.188755e-03
10 24.11860      0.8992273 2.169119e-03
11 24.20000      0.9000000 0.000000e+00
          X Spline MonoH.FC        Error
1  23.20000       0.9000000 1.110223e-16
2  23.42346       0.8870751 1.328944e-02
3  23.59619       0.8797229 2.176491e-02
4  23.72691       0.8769307 2.539665e-02
5  23.82438       0.8776859 2.504890e-02
6  23.89732       0.8809756 2.185263e-02
7  23.95447       0.8857873 1.694738e-02
8  24.00458       0.8911083 1.140073e-02
9  24.05638       0.8959259 6.188755e-03
10 24.11860       0.8992273 2.169119e-03
11 24.20000       0.9000000 0.000000e+00
          X Spline Natural         Error
1  24.20000      0.9000000  0.000000e+00
2  24.30731      0.8977854 -4.290553e-04
3  24.43932      0.8943415 -9.263065e-04
4  24.59283      0.8919805 -2.978697e-03
5  24.76463      0.8930146 -7.065508e-03
6  24.95151      0.8997561 -1.262107e-02
7  25.15027      0.9145171 -1.817475e-02
8  25.35770      0.9396098 -2.165747e-02
9  25.57061      0.9773463 -2.084713e-02
10 25.78577      1.0300390 -1.391185e-02
11 26.00000      1.1000000 -1.554312e-15
          X Spline MonoH.FC         Error
1  24.20000       0.9000000  0.000000e+00
2  24.30731       0.8977854 -4.290553e-04
3  24.43932       0.8943415 -9.263065e-04
4  24.59283       0.8919805 -2.978697e-03
5  24.76463       0.8930146 -7.065508e-03
6  24.95151       0.8997561 -1.262107e-02
7  25.15027       0.9145171 -1.817475e-02
8  25.35770       0.9396098 -2.165747e-02
9  25.57061       0.9773463 -2.084713e-02
10 25.78577       1.0300390 -1.391185e-02
11 26.00000       1.1000000 -1.554312e-15
          X Spline Natural      Error
1  26.00000       1.100000 0.00000000
2  26.21047       1.188483 0.01972755
3  26.41596       1.292511 0.04119682
4  26.61563       1.408047 0.06032534
5  26.80864       1.531056 0.07389181
6  26.99415       1.657500 0.07970633
7  27.17134       1.783344 0.07673718
8  27.33935       1.904553 0.06519073
9  27.49736       2.017089 0.04654164
10 27.64452       2.116917 0.02351210
11 27.78000       2.200000 0.00000000
          X Spline MonoH.FC      Error
1  26.00000        1.100000 0.00000000
2  26.21047        1.188483 0.01972755
3  26.41596        1.292511 0.04119682
4  26.61563        1.408047 0.06032534
5  26.80864        1.531056 0.07389181
6  26.99415        1.657500 0.07970633
7  27.17134        1.783344 0.07673718
8  27.33935        1.904553 0.06519073
9  27.49736        2.017089 0.04654164
10 27.64452        2.116917 0.02351210
11 27.78000        2.200000 0.00000000
          X Spline Natural         Error
1  27.78000       2.200000  0.000000e+00
2  27.90322       2.263301 -2.005442e-02
3  28.01459       2.307774 -3.595351e-02
4  28.11479       2.335370 -4.758369e-02
5  28.20449       2.348043 -5.466399e-02
6  28.28437       2.347744 -5.692660e-02
7  28.35510       2.336425 -5.424275e-02
8  28.41736       2.316040 -4.670459e-02
9  28.47181       2.288539 -3.467198e-02
10 28.51913       2.255875 -1.879232e-02
11 28.56000       2.220000 -1.332268e-15
          X Spline MonoH.FC         Error
1  27.78000        2.200000  0.000000e+00
2  27.90322        2.263301 -2.005442e-02
3  28.01459        2.307774 -3.595351e-02
4  28.11479        2.335370 -4.758369e-02
5  28.20449        2.348043 -5.466399e-02
6  28.28437        2.347744 -5.692660e-02
7  28.35510        2.336425 -5.424275e-02
8  28.41736        2.316040 -4.670459e-02
9  28.47181        2.288539 -3.467198e-02
10 28.51913        2.255875 -1.879232e-02
11 28.56000        2.220000 -1.332268e-15
          X Spline Natural         Error
1  28.56000       2.220000  0.000000e+00
2  28.59528       2.182773  2.056781e-02
3  28.62665       2.145674  4.163539e-02
4  28.65596       2.110092  6.145867e-02
5  28.68507       2.077413  7.797008e-02
6  28.71585       2.049024  8.895900e-02
7  28.75017       2.026314  9.222506e-02
8  28.78988       2.010669  8.577482e-02
9  28.83684       2.003477  6.814674e-02
10 28.89293       2.006125  3.898122e-02
11 28.96000       2.020000 -8.881784e-16
          X Spline MonoH.FC         Error
1  28.56000        2.220000  0.000000e+00
2  28.59528        2.182773  2.056781e-02
3  28.62665        2.145674  4.163539e-02
4  28.65596        2.110092  6.145867e-02
5  28.68507        2.077413  7.797008e-02
6  28.71585        2.049024  8.895900e-02
7  28.75017        2.026314  9.222506e-02
8  28.78988        2.010669  8.577482e-02
9  28.83684        2.003477  6.814674e-02
10 28.89293        2.006125  3.898122e-02
11 28.96000        2.020000 -8.881784e-16
          X Spline Natural       Error
1  28.96000       2.020000  0.00000000
2  29.03939       2.046048 -0.04379875
3  29.13034       2.083450 -0.08586651
4  29.23157       2.130943 -0.12053223
5  29.34179       2.187266 -0.14350623
6  29.45972       2.251159 -0.15211586
7  29.58407       2.321358 -0.14539804
8  29.71355       2.396603 -0.12405480
9  29.84689       2.475633 -0.09028430
10 29.98280       2.557186 -0.04750563
11 30.12000       2.640000  0.00000000
          X Spline MonoH.FC       Error
1  28.96000        2.020000  0.00000000
2  29.03939        2.046048 -0.04379875
3  29.13034        2.083450 -0.08586651
4  29.23157        2.130943 -0.12053223
5  29.34179        2.187266 -0.14350623
6  29.45972        2.251159 -0.15211586
7  29.58407        2.321358 -0.14539804
8  29.71355        2.396603 -0.12405480
9  29.84689        2.475633 -0.09028430
10 29.98280        2.557186 -0.04750563
11 30.12000        2.640000  0.00000000
